system:index,distance_to_sea,.geo
1905,14937.978749873864,"{""type"":""Point"",""coordinates"":[-68.99551279345445,76.93092553964075]}"
1914,43710.216913082346,"{""type"":""Point"",""coordinates"":[-52.28782475256646,72.46582492028095]}"
1918,14324.652327791346,"{""type"":""Point"",""coordinates"":[-66.75986268013234,76.3937065669469]}"
1922,14703.105408768257,"{""type"":""Point"",""coordinates"":[-54.67168884816733,73.44670783082931]}"
1930,9981.795783661297,"{""type"":""Point"",""coordinates"":[-44.93797403950852,60.71390063916623]}"
1938,452.27801196957273,"{""type"":""Point"",""coordinates"":[-51.12111031115057,69.92256878990074]}"
1944,271.2946714605213,"{""type"":""Point"",""coordinates"":[-51.39192854235856,71.46123137845078]}"
1970,7858.58986375806,"{""type"":""Point"",""coordinates"":[-50.66850457493475,68.41469986276405]}"
1972,6995.432965753654,"{""type"":""Point"",""coordinates"":[-60.04450171148164,76.09010656494995]}"
1987,65442.61425273382,"{""type"":""Point"",""coordinates"":[-49.30900821757664,67.26449740523442]}"
1996,15028.331515277947,"{""type"":""Point"",""coordinates"":[-54.54579684141377,73.12799286111992]}"
